title,isPartOf,pageCount,publicationYear,docSubType
Some Characteristics of Jute Industry Workers in Greater Calcutta,Economic and Political Weekly,9,1973,research-article
Review Article,Contemporary Sociology,2,2013,book-review
Beyond Busing,The Journal of Education,12,1978,research-article
Chapter 2: The Erosion of the Public Space,Counterpoints,18,2004,research-article
THE TWENTIETH CENTURY DECLINE OF SUAKIN,Sudan Notes and Records,26,1970,research-article
"State, Society, and Sickness: Tuberculosis Control in the American Philippines, 1910-1918",Philippine Studies,40,2009,research-article
Review Article,Louisiana History: The Journal of the Louisiana Historical Association,4,2004,book-review
Dora and Gadi: Manifestation of Landlord Domination in Telengana,Economic and Political Weekly,6,1992,research-article
PANEL: ETHICAL DILEMMAS: FINDING COMMON GROUND ON CONTROVERSIAL ISSUES,Journal of Land Use & Environmental Law,23,2002,research-article
Modernizing the American Legal System: An Example of the Peaceful Use of Anthropology,Human Organization,5,1973,research-article
"Sport and Community in California's Japanese American ""Yamato Colony,"" 1930-1945",Journal of Sport History,14,1992,research-article
Beyond Care Avoidance and Care Paralysis: Theorizing Public Mental Health Care,Sociology,17,2011,research-article
Review Article,Journal of Architectural and Planning Research,3,1985,book-review
THE STATE'S SOCIAL NEED,The Journal of Education,2,1922,research-article
Paradoxical Families,History Workshop Journal,4,2000,book-review
'Revisiting Barra': Changes in the Structure and Delivery of Social Work Services in the Outer Hebrides—Are Rural Tenets Still Alive?,The British Journal of Social Work,18,2012,research-article
LIVESTOCK INHERITANCE AND EDUCATION: ATTITUDES AND DECISION MAKING AMONG SAMBURU PASTORALISTS,Nomadic Peoples,22,2011,research-article
Review Article,Iranian Studies,4,2005,book-review
The Role Path: A Concept and Procedure for Studying Migration to Urban Communities,Human Organization,7,1968,research-article
Directed and Spontaneous Social Change: A Study of Gonds of Chhindwara,Economic and Political Weekly,5,1970,research-article
DEVELOPMENT OF SOCIOLOGY IN THE PHILIPPINES,Philippine Sociological Review,5,1957,research-article
Policies to Promote Child Health: Introducing the Issue,The Future of Children,7,2015,misc
Theory And Practice In Sustainability: Building A Ladder Of Community Focused Education and Outreach,Landscape Journal,10,2000,research-article
"Contact, Change and Industrialization in a Network of Mexican Villages",Human Organization,9,1969,research-article
Social and Economic Aspects of Attached Labourers in Kuttanad Agriculture,Economic and Political Weekly,10,1987,research-article
Diffusion of modernization among Bedouins,Ekistics,9,1983,research-article
FAMILY SYSTEM AS A DETERMINANT OF FERTILITY IN TRADITIONAL KOREA,Bulletin of the Population and Development Studies Center,16,1984,research-article
Social Change Among the Beersheba Bedouin,Human Organization,8,1967,research-article
Notes and Queries,The Virginia Magazine of History and Biography,15,1925,research-article
'Talk to Me. There's Two of US': Fathers and Sickle Cell Screening,Sociology,17,2016,research-article
"Farm Wives and Commercial Farming: The Case of Loudon County, Tennessee",Tennessee Historical Quarterly,20,1998,research-article
Fact and Fiction,Economic and Political Weekly,3,2004,research-article
The Neighbourhood in a European Context,Urban Studies,6,2006,research-article
Urban Poverty and Political Behavior in Guatemala,Human Organization,9,1970,research-article
THE QASHQA'I NOMADS OF IRAN (PART I): FORMAL EDUCATION,Nomadic Peoples,28,2001,research-article
"Preliminary Note on an Agricultural Innovation in Mando Chiefdom, Sierra Leone",Human Organization,6,1971,research-article
CHAPTER SEVENTEEN: Who Is Included in the Urban Family?,Counterpoints,12,2010,research-article
The Measurement of International Patterns and Norms : A Tool for Comparative Research,The Southwestern Social Science Quarterly,17,1968,research-article
COLLECTIVE FORM: THE STATUS OF PUBLIC ARCHITECTURE,Thresholds,12,2012,research-article
The Bedouin market -Corner stone for the founding of Be'er-Sheva: Bedouin traditions about the development of the Negev capital in the Ottoman period,Nomadic Peoples,26,1995,research-article
Costo Alto de Política Anti-imigrante Sobre la Familia y Educación: The Adverse Consequences of Anti-Latino Immigration Laws,Theory Into Practice,11,2013,research-article
The Birthday Cake: Balancing Responsibilities to Children and Families,YC Young Children,2,2012,research-article
URBAN PROBLEMS AND PROSPECTS—A FOREWORD,Ekistics,3,1965,research-article
"Weak Ties, Strong Ties: Network Principles in Mexican Migration",Human Organization,10,1998,research-article
Well-Being and Older People: The Place of Day Clubs in Reconceptualising Participation and Challenging Deficit,The British Journal of Social Work,18,2014,research-article
Growth of the Parent-Teacher Movement,The Journal of Education,4,1929,research-article
MOBILITY-SEDENTARY OPPOSITION: A CASE STUDY OF THE NOMADIC GADULIA LOHAR,Nomadic Peoples,9,1986,research-article
Review Article,Social History,3,1989,book-review
Modeling Mechanisms of Cultural Diversity and Ethnicity in Hunter-Gatherers,Journal of Archaeological Method and Theory,21,2014,research-article
THE TEACHERS OF CANADA,Pi Lambda Theta Journal,4,1948,research-article
Inside the Pandemic: African Perspectives on the AIDS Crisis,Harvard International Review,2,2002,book-review
Review Article,Social Science Quarterly,3,1996,book-review
Trends in Sex Ratio: A Review in Tribute to Asok Mitra,Economic and Political Weekly,3,2000,research-article
Culture of Disengagement in Engineering Education?,"Science, Technology, & Human Values",31,2014,research-article
Educational Trails In American History,The Journal of Education,4,1929,research-article
The Adolescent in the Transitional Family: How the Schools Can Help,Educational Horizons,4,1983,research-article
Pather: A Symbol of Anti-Liquor Movement,Economic and Political Weekly,1,1998,research-article
Pollution Solution Simulation,Science Scope,2,1993,research-article
Not In My Backyard,Thresholds,2,1993,research-article
Creating Urban Social Capital: Some Evidence from Informal Traders in Nairobi,Urban Studies,21,2005,research-article
Four Centuries of the Babacomari Ranch,Rangeman's Journal,3,1976,research-article
SUPPLEMENT to the Charity Organisation Review: NOTICES AND ADVERTISEMENTS,Charity Organisation Review,40,1910,misc
Anthropology and Development in Latin America,Human Organization,5,1979,research-article
Cultural and Social Change II,Young Children,7,1965,research-article
The Fitzhugh Family (Continued),The Virginia Magazine of History and Biography,6,1900,research-article
The Mosaic of Education,The Journal of Education,3,1952,research-article
MAKE YOUR OWN OPPORTUNITIES,The Journal of Education,2,1924,research-article
Family Forms in Historic Europe,Social History,7,1986,book-review
The Clarence Ayres Memorial Lecture: An Institutionalist Reconstruction of Culture,Journal of Economic Issues,14,2004,research-article
LINEAGE AND LAW IN PRE-EXILIC ISRAEL,Revue Biblique (1946-),30,2000,research-article
Inferring Ancestral Pueblo Social Networks from Simulation in the Central Mesa Verde,Journal of Archaeological Method and Theory,38,2015,research-article
William C. C. Claiborne Predicts the Future of Tennessee,Tennessee Historical Quarterly,4,1965,research-article
HIV/AIDS in Early Childhood Centers: The Ethical Dilemma of Confidentiality versus Disclosure,Young Children,7,1999,research-article
'Fat-Free' Foods and Schooling Options: the pathologies of enthusiasm,Educational Horizons,8,1992,research-article
Constraints to Rural Women's Participation in Philippine Development: A Report from the Field,Philippine Studies,12,1979,research-article
Why Race Still Matters 50 years After the Enactment of the 1964 Civil Rights Act,Journal of African American Studies,9,2014,research-article
The Early Childhood Network—We Work Together for Young Children,Young Children,2,1985,research-article
Educational Priorities for the Not-So-Gay 90's,Journal of Thought,13,1981,research-article
Consultation and Education in Community Mental Health,Practicing Anthropology,2,1987,research-article
TEMPORARY LANDSCAPES,Journal of Architectural and Planning Research,12,2009,research-article
The Political Economy of Social Reform: The Case of Homework in New York and Paris 1900-1940,French Politics and Society,8,1988,research-article
The National Park Service in the Temporary Society: Creating a Learning Agency,The George Wright Forum,12,1988,research-article
Review Article,Sociology,2,1977,book-review
Chapter Fifteen: Conclusions,Counterpoints,5,2002,research-article
THE STATE ADMINISTRATION OF SCHOOLS,The Journal of Education,3,1922,research-article
Occupational Injury Prevention Knowledge and Behavior of African-American Farmers,Human Organization,7,1997,research-article
A SOCIOLOGY OF HOUSING,Ekistics,5,1961,research-article
Embodied Decisions: Reversible and Irreversible Contraceptive Methods among Rural Women in the Brazilian Amazon,Human Organization,11,2007,research-article
BOYS' AND GIRLS' CLUB WORK IN RELATION TO AGRICULTURAL EDUCATION,The Journal of Education,3,1917,research-article
Review Article,Social Science Quarterly,3,2000,book-review
POPULATION PROBLEMS IN THE TOKUGAWA ERA,Kyoto University Economic Review,22,1927,research-article
60 Birthday Thoughts,Young Children,6,1986,research-article
"QUESTION OF QUARANTINE OR POLITICISING THE ""PLAGUE""? INDIANS IN THE NINETEENTH CENTURY NATAL",Proceedings of the Indian History Congress,10,2014,research-article
Ebb & Flow,Earth Island Journal,1,2001,misc
AFFILIATION!,Central States Archaeological Journal,2,1959,research-article
Misleading the State Inspector: The response,YC Young Children,3,2011,research-article
CHAPTER TWENTY-FOUR: A Model of Power as Social Relationships: Teacher Leaders Describe the Phenomena of Effective Agency in Practice,Counterpoints,26,2011,research-article
Healthy Economics Healing Autistic Accounting Theory: Visiting a Neglected Area of Institutional Economics,Journal of Economic Issues,25,2004,research-article
Review Article,Perspectives on Politics,3,2014,book-review
A «Needs» by «Sources of Satisfaction» Analysis of Environmental Habitability,Ekistics,3,1970,research-article
"Crime, Delinquency, and the American Indian",Human Organization,6,1977,research-article
EDITORIALS,The Journal of Education,3,1928,research-article
PLANNING TECHNIQUES—9: SHOPPING [1],Official Architecture and Planning,3,1971,research-article
"THE GRAYS OF GRAY, GEORGIA",Negro History Bulletin,7,1952,research-article
Mapping: An Introduction to Symbols,Young Children,12,1976,research-article
The Vagrancy problem,Charity Organisation Review,10,1910,research-article
Mature Women and the Rewards of Domestic Ideology,Journal of Economic Issues,11,1990,research-article
Anthropology in AID Overseas Missions: Its Practical and Theoretical Potential,Human Organization,3,1964,research-article
[Editorial],The Journal of Education,3,1906,research-article
CHOULTRIES IN THE MADRAS PRESIDENCY WITH SPECIAL REFERENCE TO TIRUNELVELI DISTRICT,Proceedings of the Indian History Congress,10,2003,research-article
Children of Working Mothers: What the Research Tells Us,Young Children,9,1983,research-article
New Immigrants and Neo-rural Values: The Small Non-Greek Farmers of Global Greek Countrysides,Anthropological Journal of European Cultures,21,2011,research-article
"Narratives of Exclusion: Space, Insecurity and Identity in a Muslim Neighbourhood",Economic and Political Weekly,8,2015,research-article
A NEW GENDER(ED) ORDER? RESEARCHING AND RETHINKING WOMEN'S WORK,Sociology,5,1998,book-review
[Editorials],The Journal of Education,3,1908,research-article
Review Article,Social History,4,1981,book-review
"Tourism and Empire: The Thomas Cook & Son Enterprise on the Nile, 1868-1914",Middle Eastern Studies,27,2004,research-article
THINKING TOOLS: AGRICULTURAL SLAVERY BETWEEN EVIDENCE AND MODELS,Bulletin of the Institute of Classical Studies. Supplement,174,2007,research-article
